PC,Variance_Explained,Cumulative_Variance
PC1,39.70808969696954,39.70808969696954
PC2,20.222514552099792,59.93060424906933
PC3,10.966047586496403,70.89665183556573
PC4,10.213752832890021,81.11040466845576
PC5,6.817580866205093,87.92798553466085
