PC,Variance_Explained,Cumulative_Variance
PC1,77.45329156086234,77.45329156086234
PC2,14.445821857410959,91.8991134182733
PC3,3.961042462600524,95.86015588087383
PC4,1.2196438734488213,97.07979975432265
PC5,1.1494707715723411,98.22927052589499
